epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_f1
1,6.3441,0.2666,6.0292,0.3176,0.4821
2,1.573,0.7745,1.9243,0.726,0.3105
3,4.8233,0.7334,5.7254,0.6824,0.0
4,5.9703,0.7334,7.0661,0.6824,0.0
5,5.6782,0.7334,6.7236,0.6824,0.0
6,4.4203,0.7334,5.2535,0.6824,0.0
7,2.5042,0.7449,3.0213,0.6933,0.0865
8,0.8831,0.7678,1.0566,0.7641,0.5963
9,2.0178,0.39,1.9231,0.4192,0.5122
10,3.2262,0.3089,3.0761,0.3503,0.4929
11,2.5153,0.3537,2.3937,0.3866,0.5044
12,1.1105,0.5707,1.1235,0.588,0.566
13,0.8962,0.7709,1.076,0.7641,0.5937
14,1.5017,0.7793,1.8405,0.7296,0.3378
15,2.0119,0.7606,2.4444,0.7151,0.2189
16,2.1102,0.7594,2.5594,0.7096,0.1837
17,1.8058,0.7684,2.2014,0.7114,0.2244
18,1.2711,0.7823,1.5604,0.7459,0.4488
19,0.8461,0.7684,1.0038,0.7586,0.5982
20,0.9061,0.6499,0.9544,0.6552,0.5905
21,1.355,0.5006,1.3259,0.5263,0.5477
22,1.4832,0.471,1.4362,0.5082,0.5415
23,1.1734,0.5496,1.169,0.5644,0.562
24,0.8425,0.6832,0.9069,0.6824,0.6032
25,0.8064,0.7582,0.9475,0.7623,0.6136
26,0.9281,0.7854,1.1263,0.7641,0.5638
27,1.0376,0.7902,1.2672,0.7514,0.4945
28,1.0394,0.7884,1.2689,0.7532,0.4925
29,0.9386,0.789,1.1396,0.7514,0.5125
30,0.8033,0.7769,0.9569,0.7677,0.5949
31,0.7195,0.7449,0.8175,0.7495,0.6102
32,0.7443,0.6971,0.7997,0.6987,0.6066
33,0.8315,0.6505,0.8589,0.6497,0.5937
34,0.8747,0.6433,0.8935,0.6298,0.587
35,0.7834,0.6729,0.8224,0.6806,0.6089
36,0.6997,0.7382,0.7884,0.7441,0.6094
37,0.7331,0.7739,0.8619,0.7677,0.6025
38,0.7209,0.7775,0.8471,0.7731,0.6082
39,0.6671,0.76,0.7629,0.7623,0.6158
40,0.6397,0.7382,0.7057,0.7423,0.6162
41,0.64,0.7219,0.6853,0.7187,0.6135
