node_id,is_target,degree,source_count,max_interaction_score,evidence_count,has_biogrid_direct,has_string_direct,label_string_supported
TP53,1,2757,0,0.0,0,0,0,-1
ATM,0,254,2,999.0,2,1,1,1
BCL2,0,183,2,999.0,2,1,1,1
BCL2L1,0,148,2,999.0,2,1,1,1
BRCA1,0,695,2,999.0,2,1,1,1
CDKN1A,0,236,2,999.0,2,1,1,1
CDKN2A,0,253,2,999.0,2,1,1,1
CHEK2,0,174,2,999.0,2,1,1,1
CREBBP,0,333,2,999.0,2,1,1,1
DAXX,0,188,2,999.0,2,1,1,1
EP300,0,727,2,999.0,2,1,1,1
HDAC1,0,547,2,999.0,2,1,1,1
HIF1A,0,283,2,999.0,2,1,1,1
HIPK2,0,61,2,999.0,2,1,1,1
HSP90AA1,0,589,2,999.0,2,1,1,1
MDM2,0,417,2,999.0,2,1,1,1
MDM4,0,81,2,999.0,2,1,1,1
PPP1R13L,0,44,2,999.0,2,1,1,1
PTEN,0,454,2,999.0,2,1,1,1
RAD51,0,211,2,999.0,2,1,1,1
RPA1,0,1161,2,999.0,2,1,1,1
SFN,0,257,2,999.0,2,1,1,1
SIRT1,0,252,2,999.0,2,1,1,1
TP53BP1,0,313,2,999.0,2,1,1,1
TP53BP2,0,99,2,999.0,2,1,1,1
UBE3A,0,189,2,999.0,2,1,1,1
USP7,0,413,2,999.0,2,1,1,1
AURKA,0,348,2,998.0,2,1,1,1
CCNG1,0,27,2,998.0,2,1,1,1
CREB1,0,162,2,998.0,2,1,1,1
FOXO3,0,123,2,998.0,2,1,1,1
HSPA9,0,344,2,998.0,2,1,1,1
HTT,0,186,2,998.0,2,1,1,1
MAPK1,0,258,2,998.0,2,1,1,1
NDN,0,219,2,998.0,2,1,1,1
RCHY1,0,188,2,998.0,2,1,1,1
BAK1,0,30,2,997.0,2,1,1,1
CCNA2,0,172,2,997.0,2,1,1,1
CHEK1,0,191,2,997.0,2,1,1,1
DDX5,0,322,2,997.0,2,1,1,1
DNMT1,0,182,2,997.0,2,1,1,1
HMGB1,0,253,2,997.0,2,1,1,1
HSPA4,0,371,2,997.0,2,1,1,1
JUN,0,304,2,997.0,2,1,1,1
MAPK8,0,166,2,997.0,2,1,1,1
MYC,0,1255,2,997.0,2,1,1,1
NPM1,0,630,2,997.0,2,1,1,1
PRKDC,0,363,2,997.0,2,1,1,1
TBP,0,174,2,997.0,2,1,1,1
ATR,0,140,2,996.0,2,1,1,1
DROSHA,0,109,2,996.0,2,1,1,1
KAT5,0,187,2,996.0,2,1,1,1
S100A4,0,56,2,996.0,2,1,1,1
SUMO1,0,177,2,996.0,2,1,1,1
BRCA2,0,220,2,995.0,2,1,1,1
FOXO4,0,54,2,995.0,2,1,1,1
HSP90AB1,0,496,2,995.0,2,1,1,1
S100B,0,63,2,995.0,2,1,1,1
AKT1,0,378,2,994.0,2,1,1,1
BAX,0,82,2,994.0,2,1,1,1
MAPK14,0,169,2,994.0,2,1,1,1
MAPK3,0,217,2,994.0,2,1,1,1
SP1,0,213,2,994.0,2,1,1,1
STAT3,0,277,2,994.0,2,1,1,1
UBE2I,0,319,2,994.0,2,1,1,1
SMAD2,0,193,2,993.0,2,1,1,1
SMARCA4,0,306,2,993.0,2,1,1,1
ESR1,0,932,2,992.0,2,1,1,1
GSK3B,0,404,2,992.0,2,1,1,1
RRM2B,0,38,2,992.0,2,1,1,1
SNAI1,0,334,2,992.0,2,1,1,1
CASP8,0,123,2,991.0,2,1,1,1
GADD45A,0,60,2,991.0,2,1,1,1
YWHAZ,0,409,2,991.0,2,1,1,1
BRD4,0,770,2,990.0,2,1,1,1
BRD7,0,339,2,990.0,2,1,1,1
HDAC2,0,467,2,990.0,2,1,1,1
NFKB1,0,218,2,989.0,2,1,1,1
SMYD2,0,27,2,989.0,2,1,1,1
IFI16,0,350,2,988.0,2,1,1,1
CDK2,0,470,2,987.0,2,1,1,1
HSPA8,0,843,2,987.0,2,1,1,1
E2F1,0,162,2,986.0,2,1,1,1
PPP1R13B,0,56,2,986.0,2,1,1,1
KAT2B,0,193,2,985.0,2,1,1,1
TP73,0,127,2,985.0,2,1,1,1
RB1CC1,0,174,2,984.0,2,1,1,1
TADA3,0,78,2,983.0,2,1,1,1
TAF9,0,133,2,983.0,2,1,1,1
WT1,0,38,2,983.0,2,1,1,1
ATF3,0,62,2,982.0,2,1,1,1
BARD1,0,209,2,982.0,2,1,1,1
ING4,0,54,2,982.0,2,1,1,1
L3MBTL1,0,67,2,982.0,2,1,1,1
MAPK9,0,101,2,982.0,2,1,1,1
RBBP6,0,101,2,982.0,2,1,1,1
TP53RK,0,34,2,982.0,2,1,1,1
ATRX,0,179,2,981.0,2,1,1,1
PLK1,0,389,2,981.0,2,1,1,1
ANXA2,0,217,2,977.0,2,1,1,1
COPS5,0,513,2,977.0,2,1,1,1
GNL3,0,220,2,976.0,2,1,1,1
SMARCB1,0,208,2,976.0,2,1,1,1
APAF1,0,50,2,974.0,2,1,1,1
CCNA1,0,82,2,974.0,2,1,1,1
MSH2,0,205,2,974.0,2,1,1,1
PTGS2,0,68,2,974.0,2,1,1,1
TRRAP,0,297,2,973.0,2,1,1,1
ETS1,0,88,2,972.0,2,1,1,1
PARP1,0,634,2,972.0,2,1,1,1
CUL9,0,53,2,971.0,2,1,1,1
HSPA1B,0,160,2,971.0,2,1,1,1
RPL11,0,361,2,971.0,2,1,1,1
RPS27A,0,416,2,971.0,2,1,1,1
DDX17,0,230,2,970.0,2,1,1,1
ETS2,0,33,2,970.0,2,1,1,1
PHF20,0,51,2,970.0,2,1,1,1
STK11,0,156,2,970.0,2,1,1,1
CUL7,0,470,2,969.0,2,1,1,1
E4F1,0,51,2,969.0,2,1,1,1
EGR1,0,54,2,969.0,2,1,1,1
ING5,0,49,2,969.0,2,1,1,1
STUB1,0,262,2,968.0,2,1,1,1
CDK5,0,113,2,967.0,2,1,1,1
