source,target_gene,interactor,interaction_score,experimental_system,experimental_system_type
BioGRID,TP53,WWOX,,Two-hybrid,physical
BioGRID,TP53,CDC14A,,Two-hybrid,physical
BioGRID,TP53,MAGEB18,,Two-hybrid,physical
BioGRID,TP53,DVL2,,Two-hybrid,physical
BioGRID,TP53,TP53BP1,,Co-crystal Structure,physical
BioGRID,TP53,BAK1,,Affinity Capture-Western,physical
BioGRID,TP53,BLM,,Affinity Capture-Western,physical
BioGRID,TP53,BRCA1,,Affinity Capture-Western,physical
BioGRID,TP53,ATM,,Reconstituted Complex,physical
BioGRID,TP53,ATR,,Reconstituted Complex,physical
BioGRID,TP53,TFAP2A,,Co-localization,physical
BioGRID,TP53,EPHA3,,Reconstituted Complex,physical
BioGRID,TP53,BARD1,,Affinity Capture-Western,physical
BioGRID,TP53,RAD51,,Affinity Capture-MS,physical
BioGRID,TP53,BRCA2,,Affinity Capture-Western,physical
BioGRID,TP53,BRE,,Affinity Capture-MS,physical
BioGRID,TP53,BRCC3,,Affinity Capture-Western,physical
BioGRID,TP53,MDM2,,Biochemical Activity,physical
BioGRID,TP53,RPA1,,Reconstituted Complex,physical
BioGRID,TP53,CHEK1,,Affinity Capture-Western,physical
BioGRID,TP53,AR,,Phenotypic Suppression,genetic
BioGRID,TP53,PRKDC,,Protein-peptide,physical
BioGRID,TP53,S100B,,Affinity Capture-Western,physical
BioGRID,TP53,SFN,,Affinity Capture-Western,physical
BioGRID,TP53,TFAP2C,,Reconstituted Complex,physical
BioGRID,TP53,CDKN1A,,Affinity Capture-Western,physical
BioGRID,TP53,LINC01194,,Affinity Capture-Western,physical
BioGRID,TP53,EP300,,Reconstituted Complex,physical
BioGRID,TP53,PRMT1,,Reconstituted Complex,physical
BioGRID,TP53,CARM1,,Reconstituted Complex,physical
BioGRID,TP53,ANKRD2,,Affinity Capture-Western,physical
BioGRID,TP53,YBX1,,Reconstituted Complex,physical
BioGRID,TP53,APTX,,Affinity Capture-Western,physical
BioGRID,TP53,PARP1,,Affinity Capture-Western,physical
BioGRID,TP53,XRCC1,,Affinity Capture-Western,physical
BioGRID,TP53,CABLES2,,Affinity Capture-Western,physical
BioGRID,TP53,CABLES1,,Affinity Capture-Western,physical
BioGRID,TP53,RPL11,,Affinity Capture-Western,physical
BioGRID,TP53,CDKN2A,,Affinity Capture-Western,physical
BioGRID,TP53,MDC1,,Affinity Capture-Western,physical
BioGRID,TP53,PHB,,Co-localization,physical
BioGRID,TP53,MTA1,,Reconstituted Complex,physical
BioGRID,TP53,MTA2,,Reconstituted Complex,physical
BioGRID,TP53,PML,,Affinity Capture-Western,physical
BioGRID,TP53,EEF2,,Affinity Capture-Western,physical
BioGRID,TP53,TP53INP1,,Reconstituted Complex,physical
BioGRID,TP53,ING4,,Affinity Capture-Western,physical
BioGRID,TP53,ING5,,Affinity Capture-Western,physical
