interactor,sources,source_count,max_interaction_score,evidence_types
ATM,"BioGRID,STRING",2,999.0,"Reconstituted Complex,STRING_combined"
BCL2,"BioGRID,STRING",2,999.0,"Affinity Capture-Western,STRING_combined"
BCL2L1,"BioGRID,STRING",2,999.0,"STRING_combined,Two-hybrid"
BRCA1,"BioGRID,STRING",2,999.0,"Affinity Capture-Western,STRING_combined"
CDKN1A,"BioGRID,STRING",2,999.0,"Affinity Capture-Western,STRING_combined"
CDKN2A,"BioGRID,STRING",2,999.0,"Affinity Capture-Western,STRING_combined"
CHEK2,"BioGRID,STRING",2,999.0,"Affinity Capture-Western,STRING_combined"
CREBBP,"BioGRID,STRING",2,999.0,"Biochemical Activity,STRING_combined"
DAXX,"BioGRID,STRING",2,999.0,"Affinity Capture-Western,STRING_combined"
EP300,"BioGRID,STRING",2,999.0,"Reconstituted Complex,STRING_combined"
HDAC1,"BioGRID,STRING",2,999.0,"Affinity Capture-Western,STRING_combined"
HIF1A,"BioGRID,STRING",2,999.0,"Affinity Capture-Western,STRING_combined"
HIPK2,"BioGRID,STRING",2,999.0,"Reconstituted Complex,STRING_combined"
HSP90AA1,"BioGRID,STRING",2,999.0,"Affinity Capture-Western,STRING_combined"
MDM2,"BioGRID,STRING",2,999.0,"Biochemical Activity,STRING_combined"
MDM4,"BioGRID,STRING",2,999.0,"Biochemical Activity,STRING_combined"
PPP1R13L,"BioGRID,STRING",2,999.0,"Affinity Capture-Western,STRING_combined"
PTEN,"BioGRID,STRING",2,999.0,"Affinity Capture-Western,STRING_combined"
RAD51,"BioGRID,STRING",2,999.0,"Affinity Capture-MS,STRING_combined"
RPA1,"BioGRID,STRING",2,999.0,"Reconstituted Complex,STRING_combined"
SFN,"BioGRID,STRING",2,999.0,"Affinity Capture-Western,STRING_combined"
SIRT1,"BioGRID,STRING",2,999.0,"Affinity Capture-Western,STRING_combined"
TP53BP1,"BioGRID,STRING",2,999.0,"Co-crystal Structure,STRING_combined"
TP53BP2,"BioGRID,STRING",2,999.0,"STRING_combined,Two-hybrid"
UBE3A,"BioGRID,STRING",2,999.0,"Reconstituted Complex,STRING_combined"
USP7,"BioGRID,STRING",2,999.0,"Affinity Capture-MS,STRING_combined"
AURKA,"BioGRID,STRING",2,998.0,"STRING_combined,Two-hybrid"
CCNG1,"BioGRID,STRING",2,998.0,"Reconstituted Complex,STRING_combined"
CREB1,"BioGRID,STRING",2,998.0,"Reconstituted Complex,STRING_combined"
FOXO3,"BioGRID,STRING",2,998.0,"Co-localization,STRING_combined"
HSPA9,"BioGRID,STRING",2,998.0,"Reconstituted Complex,STRING_combined"
HTT,"BioGRID,STRING",2,998.0,"Reconstituted Complex,STRING_combined"
MAPK1,"BioGRID,STRING",2,998.0,"Affinity Capture-Western,STRING_combined"
NDN,"BioGRID,STRING",2,998.0,"STRING_combined,Two-hybrid"
RCHY1,"BioGRID,STRING",2,998.0,"Affinity Capture-Western,STRING_combined"
BAK1,"BioGRID,STRING",2,997.0,"Affinity Capture-Western,STRING_combined"
CCNA2,"BioGRID,STRING",2,997.0,"Reconstituted Complex,STRING_combined"
CHEK1,"BioGRID,STRING",2,997.0,"Affinity Capture-Western,STRING_combined"
DDX5,"BioGRID,STRING",2,997.0,"Affinity Capture-MS,STRING_combined"
DNMT1,"BioGRID,STRING",2,997.0,"Affinity Capture-Western,STRING_combined"
HMGB1,"BioGRID,STRING",2,997.0,"Affinity Capture-Western,STRING_combined"
HSPA4,"BioGRID,STRING",2,997.0,"Affinity Capture-Western,STRING_combined"
JUN,"BioGRID,STRING",2,997.0,"STRING_combined,Two-hybrid"
MAPK8,"BioGRID,STRING",2,997.0,"Affinity Capture-Western,STRING_combined"
MYC,"BioGRID,STRING",2,997.0,"Affinity Capture-MS,STRING_combined"
NPM1,"BioGRID,STRING",2,997.0,"Affinity Capture-Western,STRING_combined"
PRKDC,"BioGRID,STRING",2,997.0,"Protein-peptide,STRING_combined"
TBP,"BioGRID,STRING",2,997.0,"Reconstituted Complex,STRING_combined"
ATR,"BioGRID,STRING",2,996.0,"Reconstituted Complex,STRING_combined"
DROSHA,"BioGRID,STRING",2,996.0,"Proximity Label-MS,STRING_combined"
KAT5,"BioGRID,STRING",2,996.0,"Affinity Capture-Western,STRING_combined"
S100A4,"BioGRID,STRING",2,996.0,"Reconstituted Complex,STRING_combined"
SUMO1,"BioGRID,STRING",2,996.0,"STRING_combined,Two-hybrid"
BRCA2,"BioGRID,STRING",2,995.0,"Affinity Capture-Western,STRING_combined"
FOXO4,"BioGRID,STRING",2,995.0,"Reconstituted Complex,STRING_combined"
HSP90AB1,"BioGRID,STRING",2,995.0,"Affinity Capture-MS,STRING_combined"
S100B,"BioGRID,STRING",2,995.0,"Affinity Capture-Western,STRING_combined"
AKT1,"BioGRID,STRING",2,994.0,"FRET,STRING_combined"
BAX,"BioGRID,STRING",2,994.0,"Co-localization,STRING_combined"
MAPK14,"BioGRID,STRING",2,994.0,"PCA,STRING_combined"
MAPK3,"BioGRID,STRING",2,994.0,"Affinity Capture-Western,STRING_combined"
SP1,"BioGRID,STRING",2,994.0,"Affinity Capture-Western,STRING_combined"
STAT3,"BioGRID,STRING",2,994.0,"Affinity Capture-MS,STRING_combined"
UBE2I,"BioGRID,STRING",2,994.0,"STRING_combined,Two-hybrid"
SMAD2,"BioGRID,STRING",2,993.0,"Affinity Capture-Western,STRING_combined"
SMARCA4,"BioGRID,STRING",2,993.0,"Reconstituted Complex,STRING_combined"
ESR1,"BioGRID,STRING",2,992.0,"Reconstituted Complex,STRING_combined"
GSK3B,"BioGRID,STRING",2,992.0,"Affinity Capture-Western,STRING_combined"
RRM2B,"BioGRID,STRING",2,992.0,"Affinity Capture-Western,STRING_combined"
SNAI1,"BioGRID,STRING",2,992.0,"Affinity Capture-Western,STRING_combined"
CASP8,"BioGRID,STRING",2,991.0,"Affinity Capture-Western,STRING_combined"
GADD45A,"BioGRID,STRING",2,991.0,"STRING_combined,Two-hybrid"
YWHAZ,"BioGRID,STRING",2,991.0,"Affinity Capture-Western,STRING_combined"
BRD4,"BioGRID,STRING",2,990.0,"Affinity Capture-Western,STRING_combined"
BRD7,"BioGRID,STRING",2,990.0,"Affinity Capture-Western,STRING_combined"
HDAC2,"BioGRID,STRING",2,990.0,"Reconstituted Complex,STRING_combined"
NFKB1,"BioGRID,STRING",2,989.0,"Affinity Capture-Western,STRING_combined"
SMYD2,"BioGRID,STRING",2,989.0,"Biochemical Activity,STRING_combined"
